Lat_degN,Lon_degE,hs_km,SatLon_degE,f_GHz,ElevationAngle_deg,AntennaDiameter_m,AntennaEfficiency_h,p_percent,MedianNwet_P453,sref_dB,L_m,x,gx,s,As_dB,ast_e_f,Ast_dB
51.5,-0.14,0.03138298,1,14.25,31.07699124,1,0.65,1,50.38926222,0.00863893,1936.846342,0.00583436,0.97033034,0.08731063,0.26193189,2.672,-0.233294003
41.9,12.49,0.04612299,1,14.25,40.232036,1,0.65,1,61.21890044,0.00972189,1548.046091,0.00729969,0.96517159,0.07468406,0.22405219,2.672,-0.199555808
33.94,18.43,0,1,14.25,46.35969261,1,0.65,1,80.14015964,0.01161402,1381.658765,0.00817876,0.96223277,0.07759981,0.23279942,2.672,-0.207346692
51.5,-0.14,0.03138298,1,14.25,31.07699124,1,0.65,0.1,50.38926222,0.00863893,1936.846342,0.00583436,0.97033034,0.08731063,0.42284538,3.9062,-0.341052783
41.9,12.49,0.04612299,1,14.25,40.232036,1,0.65,0.1,61.21890044,0.00972189,1548.046091,0.00729969,0.96517159,0.07468406,0.36169493,3.9062,-0.291730875
33.94,18.43,0,1,14.25,46.35969261,1,0.65,0.1,80.14015964,0.01161402,1381.658765,0.00817876,0.96223277,0.07759981,0.37581586,3.9062,-0.303120378
51.5,-0.14,0.03138298,1,14.25,31.07699124,1,0.65,0.01,50.38926222,0.00863893,1936.846342,0.00583436,0.97033034,0.08731063,0.62828729,5.3316,-0.465505355
41.9,12.49,0.04612299,1,14.25,40.232036,1,0.65,0.01,61.21890044,0.00972189,1548.046091,0.00729969,0.96517159,0.07468406,0.53742653,5.3316,-0.398185534
33.94,18.43,0,1,14.25,46.35969261,1,0.65,0.01,80.14015964,0.01161402,1381.658765,0.00817876,0.96223277,0.07759981,0.55840821,5.3316,-0.413731147
51.5,-0.14,0.03138298,1,20,31.07699124,1,0.65,1,50.38926222,0.00863893,1936.846342,0.00818857,0.96220054,0.10550878,0.31652634,2.672,-0.28191946
41.9,12.49,0.04612299,1,20,40.232036,1,0.65,1,61.21890044,0.00972189,1548.046091,0.01024517,0.95569279,0.09011918,0.27035754,2.672,-0.240798449
33.94,18.43,0,1,20,46.35969261,1,0.65,1,80.14015964,0.01161402,1381.658765,0.01147896,0.95199376,0.09355997,0.28067992,2.672,-0.24999224
51.5,-0.14,0.03138298,1,20,31.07699124,1,0.65,0.1,50.38926222,0.00863893,1936.846342,0.00818857,0.96220054,0.10550878,0.51097902,3.9062,-0.412138396
41.9,12.49,0.04612299,1,20,40.232036,1,0.65,0.1,61.21890044,0.00972189,1548.046091,0.01024517,0.95569279,0.09011918,0.43644718,3.9062,-0.352023541
33.94,18.43,0,1,20,46.35969261,1,0.65,0.1,80.14015964,0.01161402,1381.658765,0.01147896,0.95199376,0.09355997,0.45311095,3.9062,-0.365463955
51.5,-0.14,0.03138298,1,20,31.07699124,1,0.65,0.01,50.38926222,0.00863893,1936.846342,0.00818857,0.96220054,0.10550878,0.75924118,5.3316,-0.562530611
41.9,12.49,0.04612299,1,20,40.232036,1,0.65,0.01,61.21890044,0.00972189,1548.046091,0.01024517,0.95569279,0.09011918,0.64849761,5.3316,-0.48047942
33.94,18.43,0,1,20,46.35969261,1,0.65,0.01,80.14015964,0.01161402,1381.658765,0.01147896,0.95199376,0.09355997,0.67325757,5.3316,-0.498824336
22.9,-43.23,0,-100,14.25,22.27833468,1,0.65,1,104.3584747,0.01403585,2636.705339,0.00428575,0.97623539,0.20669915,0.62009744,2.672,-0.552300129
25.78,-80.22,0.00861728,-100,14.25,52.67898486,1,0.65,1,113.2738672,0.01492739,1257.347578,0.00898737,0.95961677,0.08882498,0.26647493,2.672,-0.237340347
22.9,-43.23,0,-100,14.25,22.27833468,1,0.65,0.1,104.3584747,0.01403585,2636.705339,0.00428575,0.97623539,0.20669915,1.00104396,3.9062,-0.80740822
25.78,-80.22,0.00861728,-100,14.25,52.67898486,1,0.65,0.1,113.2738672,0.01492739,1257.347578,0.00898737,0.95961677,0.08882498,0.43017937,3.9062,-0.346968137
22.9,-43.23,0,-100,14.25,22.27833468,1,0.65,0.01,104.3584747,0.01403585,2636.705339,0.00428575,0.97623539,0.20669915,1.48740705,5.3316,-1.102037188
25.78,-80.22,0.00861728,-100,14.25,52.67898486,1,0.65,0.01,113.2738672,0.01492739,1257.347578,0.00898737,0.95961677,0.08882498,0.63918454,5.3316,-0.473579263
22.9,-43.23,0,-100,20,22.27833468,1,0.65,1,104.3584747,0.01403585,2636.705339,0.00601508,0.96967418,0.25019894,0.75059681,2.672,-0.668531568
25.78,-80.22,0.00861728,-100,20,52.67898486,1,0.65,1,113.2738672,0.01492739,1257.347578,0.01261385,0.94870588,0.10701493,0.32104479,2.672,-0.285943893
22.9,-43.23,0,-100,20,22.27833468,1,0.65,0.1,104.3584747,0.01403585,2636.705339,0.00601508,0.96967418,0.25019894,1.21171345,3.9062,-0.977327099
25.78,-80.22,0.00861728,-100,20,52.67898486,1,0.65,0.1,113.2738672,0.01492739,1257.347578,0.01261385,0.94870588,0.10701493,0.5182733,3.9062,-0.41802172
22.9,-43.23,0,-100,20,22.27833468,1,0.65,0.01,104.3584747,0.01403585,2636.705339,0.00601508,0.96967418,0.25019894,1.80043155,5.3316,-1.333960669
25.78,-80.22,0.00861728,-100,20,52.67898486,1,0.65,0.01,113.2738672,0.01492739,1257.347578,0.01261385,0.94870588,0.10701493,0.77007942,5.3316,-0.570560801
28.717,77.3,0.2093837,100,14.25,48.24117054,1,0.65,1,75.66013547,0.01116601,1340.422378,0.00843037,0.96141029,0.07188042,0.21564126,2.672,-0.192064482
3.133,101.7,0.05125146,100,14.25,85.80459566,1,0.65,1,128.1408003,0.01641408,1002.627634,0.01127063,0.95260879,0.07389043,0.22167129,2.672,-0.197435229
9.05,38.7,2.53986188,100,14.25,20.14335809,1,0.65,1,61.73157333,0.00977316,2902.414179,0.0038934,0.97782676,0.16177996,0.48533989,2.672,-0.432276053
28.717,77.3,0.2093837,100,14.25,48.24117054,1,0.65,0.1,75.66013547,0.01116601,1340.422378,0.00843037,0.96141029,0.07188042,0.34811687,3.9062,-0.280779297
