Lat_degN,Lon_degE,hs_km,SatLon_degE,P_percent,f_GHz,ElevationAngle_deg,PolarizationTiltAngle_deg,A_p,Cf,V_f,Ca,C_tau,C_theta,C_sigma,XPD_Rain,C_ice,XPD_p
51.5,-0.14,0.03138298,1,1,14.25,31.07699124,0,0.49531707,34.09918647,21.20482994,-6.46994784,14.94850022,2.69142364,0,58.20905817,8.73135873,49.47769944
41.9,12.49,0.04612299,1,1,14.25,40.232036,0,0.623263,34.09918647,21.20482994,-4.3539592,14.94850022,4.68911706,0,58.09076295,8.71361444,49.37714851
33.94,18.43,0,1,1,14.25,46.35969261,0,0.42101702,34.09918647,21.20482994,-7.96666197,14.94850022,6.4427933,0,63.45714196,9.51857129,53.93857066
51.5,-0.14,0.03138298,1,0.1,14.25,31.07699124,0,2.18584742,34.09918647,21.20482994,7.20158102,14.94850022,2.69142364,0.1325,44.67002931,4.46700293,40.20302638
41.9,12.49,0.04612299,1,0.1,14.25,40.232036,0,2.69676513,34.09918647,21.20482994,9.13595518,14.94850022,4.68911706,0.1325,44.73334858,4.47333486,40.26001372
33.94,18.43,0,1,0.1,14.25,46.35969261,0,1.91338757,34.09918647,21.20482994,5.9755836,14.94850022,6.4427933,0.1325,49.64739639,4.96473964,44.68265675
51.5,-0.14,0.03138298,1,0.01,14.25,31.07699124,0,6.79807227,34.09918647,21.20482994,17.65059885,14.94850022,2.69142364,0.53,34.61851148,1.73092557,32.88758591
41.9,12.49,0.04612299,1,0.01,14.25,40.232036,0,8.22326501,34.09918647,21.20482994,19.40335848,14.94850022,4.68911706,0.53,34.86344527,1.74317226,33.12027301
33.94,18.43,0,1,0.01,14.25,46.35969261,0,5.9418061,34.09918647,21.20482994,16.41080966,14.94850022,6.4427933,0.53,39.60967033,1.98048352,37.62918681
51.5,-0.14,0.03138298,1,0.001,14.25,31.07699124,0,14.89982248,34.09918647,21.20482994,24.87710559,14.94850022,2.69142364,1.1925,28.05450474,0,28.05450474
41.9,12.49,0.04612299,1,0.001,14.25,40.232036,0,17.67155766,34.09918647,21.20482994,26.44825071,14.94850022,4.68911706,1.1925,28.48105305,0,28.48105305
33.94,18.43,0,1,0.001,14.25,46.35969261,0,12.98151687,34.09918647,21.20482994,23.60787667,14.94850022,6.4427933,1.1925,33.07510332,0,33.07510332
51.5,-0.14,0.03138298,1,1,29,31.07699124,0,2.20778604,42.12234795,22.6,7.77342781,14.94850022,2.69142364,0,51.98884399,7.7983266,44.19051739
41.9,12.49,0.04612299,1,1,29,40.232036,0,2.82346563,42.12234795,22.6,10.18768462,14.94850022,4.68911706,0,51.5722806,7.73584209,43.83643851
33.94,18.43,0,1,1,29,46.35969261,0,1.96063611,42.12234795,22.6,6.60817213,14.94850022,6.4427933,0,56.90546933,8.5358204,48.36964893
