height_km,temp_K,pressure_hPa,wvd_gm3,n
0,286.8374,1008.0278,8.988,1.000326701
0.5,284.4121,952.3883,7.490199849,1.000305234
1,281.9167,898.7192,6.216041904,1.000285376
1.5,279.3512,847.0205,5.129651532,1.000266935
2,276.7156,797.2922,4.203184088,1.000249763
2.5,274.0099,749.5343,3.414670422,1.000233746
3,271.2341,703.7468,2.746390089,1.000218793
3.5,268.3882,659.9297,2.183644411,1.000204831
4,265.4722,618.083,1.713843235,1.000191799
4.5,262.4861,578.2067,1.325845646,1.000179645
5,259.4299,540.3008,1.009510293,1.000168321
5.5,256.3036,504.3653,0.755418582,1.000157786
6,253.1072,470.4002,0.554736726,1.000147998
6.5,249.8407,438.4055,0.399182721,1.000138922
7,246.5041,408.3812,0.281064065,1.000130525
7.5,243.0974,380.3273,0.193352995,1.000122777
8,239.6206,354.2438,0.129769219,1.000115654
8.5,236.0737,330.1307,0.084845908,1.000109137
9,232.4567,307.988,0.053962461,1.000103215
9.5,228.7696,287.8157,0.033336304,1.00009788
10,225,269.6138,0.019974284,1.00009314
10.5,225,251.3862409,0.011590876,1.000086789
11,225,234.3909774,0.006504529,1.000080889
11.5,225,218.5446988,0.003524789,1.000075401
12,225,203.7697265,0.001841753,1.000070292
12.5,225,189.9936337,0.00092656,1.000065534
13,225,177.1488899,0.00044815,1.0000611
13.5,225,165.1725301,0.000208086,1.000056969
14,225,154.0058463,9.26185E-05,1.000053117
14.5,225,143.5940993,3.94593E-05,1.000049526
15,225,133.8862508,1.60679E-05,1.000046178
15.5,225,124.8347128,0,1.000043056
16,225,116.3951147,0,1.000040145
16.5,225,108.5260856,0,1.000037431
17,225,101.1890515,0,1.000034901
17.5,225,94.3480463,0,1.000032541
18,225,87.96953529,0,1.000030341
18.5,225,82.02225105,0,1.00002829
19,225,76.47703997,0,1.000026377
19.5,225,71.30671943,0,1.000024594
20,225,66.48594452,0,1.000022931
20.5,225,61.99108378,0,1.000021381
21,225,57.8001034,0,1.000019936
21.5,225,53.8924592,0,1.000018588
22,225,50.2489959,0,1.000017331
22.5,225,46.85185323,0,1.000016159
23,225,43.68437841,0,1.000015067
23.5,225.9376107,40.73104445,0,1.00001399
24,226.8791285,37.97737413,0,1.00001299
24.5,227.8245698,35.40986893,0,1.000012062
25,228.7739509,33.01594296,0,1.0000112
25.5,229.7272883,30.78386117,0,1.000010399
26,230.6845983,28.70268191,0,1.000009656
26.5,231.6458976,26.76220323,0,1.000008966
27,232.6112028,24.95291289,0,1.000008325
27.5,233.5805305,23.26594177,0,1.00000773
28,234.5538977,21.69302032,0,1.000007177
28.5,235.5313209,20.22643808,0,1.000006664
29,236.5128173,18.85900587,0,1.000006188
29.5,237.4984037,17.58402052,0,1.000005746
30,238.4880972,16.39523206,0,1.000005335
30.5,239.4819149,15.28681305,0,1.000004954
31,240.479874,14.25333001,0,1.0000046
31.5,241.4819918,13.28971682,0,1.000004271
32,242.4882856,12.39124983,0,1.000003966
32.5,243.4987727,11.55352476,0,1.000003682
33,244.5134707,10.77243509,0,1.000003419
33.5,245.5323971,10.0441519,0,1.000003175
34,246.5555695,9.365105158,0,1.000002948
34.5,247.5830057,8.731966172,0,1.000002737
35,248.6147233,8.141631295,0,1.000002541
35.5,249.6507403,7.591206703,0,1.00000236
36,250.6910745,7.077994216,0,1.000002191
36.5,251.735744,6.599478064,0,1.000002034
37,252.7847667,6.153312561,0,1.000001889
37.5,253.8381609,5.737310604,0,1.000001754
38,254.8959448,5.34943295,0,1.000001629
38.5,255.9581366,4.987778223,0,1.000001512
39,257.0247547,4.65057359,0,1.000001404
39.5,258.0958176,4.336166074,0,1.000001304
40,259.1713438,4.04301445,0,1.000001211
40.5,260.2513519,3.769681687,0,1.000001124
41,261.3358606,3.514827908,0,1.000001044
41.5,262.4248885,3.277203819,0,1.000000969
42,263.5184547,3.055644588,0,1.0000009
42.5,264.6165778,2.849064129,0,1.000000836
43,265.7192771,2.656449787,0,1.000000776
43.5,266.8265714,2.476857364,0,1.00000072
44,267.9384801,2.309406499,0,1.000000669
44.5,269.0550222,2.153276347,0,1.000000621
45,270.1762171,2.007701559,0,1.000000577
45.5,271.3020843,1.871968526,0,1.000000536
46,272.4326431,1.745411884,0,1.000000497
46.5,273.5679131,1.627411254,0,1.000000462
47,274.707914,1.517388196,0,1.000000429
47.5,275.8526654,1.414803376,0,1.000000398
48,277,1.319153924,0,1.00000037
48.5,277,1.229970967,0,1.000000345
49,277,1.146817328,0,1.000000321
49.5,277,1.069285389,0,1.0000003
50,277,0.996995089,0,1.000000279
50.5,277,0.929592059,0,1.00000026
51,277,0.866745891,0,1.000000243
51.5,277,0.808148512,0,1.000000226
52,277,0.753512678,0,1.000000211
52.5,277,0.702570564,0,1.000000197
53,277,0.655072452,0,1.000000184
53.5,274.96155,0.610785506,0,1.000000172
54,272.9231,0.569492631,0,1.000000162
54.5,270.88465,0.53099141,0,1.000000152
55,268.8462,0.495093109,0,1.000000143
55.5,266.80775,0.461621755,0,1.000000134
56,264.7693,0.430413272,0,1.000000126
56.5,262.73085,0.401314674,0,1.000000119
57,260.6924,0.374183322,0,1.000000111
57.5,258.65395,0.348886217,0,1.000000105
58,256.6155,0.325299353,0,1.000000098
58.5,254.57705,0.303307106,0,1.000000093
59,252.5386,0.282801671,0,1.000000087
59.5,250.50015,0.263682531,0,1.000000082
60,248.4617,0.245855962,0,1.000000077
60.5,246.42325,0.229234579,0,1.000000072
61,244.3848,0.213736905,0,1.000000068
61.5,242.34635,0.19928697,0,1.000000064
62,240.3079,0.185813939,0,1.00000006
62.5,238.26945,0.173251768,0,1.000000056
63,236.231,0.161538878,0,1.000000053
63.5,234.19255,0.150617851,0,1.00000005
64,232.1541,0.140435154,0,1.000000047
64.5,230.11565,0.13094087,0,1.000000044
65,228.0772,0.122088458,0,1.000000042
65.5,226.03875,0.113834523,0,1.000000039
66,224.0003,0.106138606,0,1.000000037
66.5,221.96185,0.09896298,0,1.000000035
67,219.9234,0.092272471,0,1.000000033
67.5,217.88495,0.086034282,0,1.000000031
68,215.8465,0.080217833,0,1.000000029
68.5,213.80805,0.074794612,0,1.000000027
69,211.7696,0.069738034,0,1.000000026
69.5,209.73115,0.065023312,0,1.000000024
70,207.6927,0.060627334,0,1.000000023
70.5,205.65425,0.056528551,0,1.000000021
71,203.6158,0.052706872,0,1.00000002
71.5,201.57735,0.049143562,0,1.000000019
72,199.5389,0.045821153,0,1.000000018
72.5,197.50045,0.042192642,0,1.000000017
73,195.462,0.038851467,0,1.000000015
73.5,193.42355,0.035774875,0,1.000000014
74,191.3851,0.032941915,0,1.000000013
74.5,189.34665,0.030333292,0,1.000000012
75,187.3082,0.027931242,0,1.000000012
75.5,185.26975,0.025719407,0,1.000000011
76,183.2313,0.023682724,0,1.00000001
76.5,181.19285,0.021807323,0,1.000000009
77,179.1544,0.020080433,0,1.000000009
77.5,177.11595,0.018490292,0,1.000000008
78,175.0775,0.017026073,0,1.000000008
78.5,173.03905,0.015677802,0,1.000000007
79,171,0.0144363,0,1.000000007
79.5,171,0.01329311,0,1.000000006
80,171,0.012240448,0,1.000000006
80.5,171,0.011271144,0,1.000000005
81,171,0.010378598,0,1.000000005
81.5,171,0.009556732,0,1.000000004
82,171,0.008799948,0,1.000000004
82.5,171,0.008103093,0,1.000000004
83,171,0.007461421,0,1.000000003
83.5,171,0.006870562,0,1.000000003
84,171,0.006326492,0,1.000000003
84.5,171,0.005825506,0,1.000000003
85,171,0.005364193,0,1.000000002
85.5,171,0.00493941,0,1.000000002
86,171,0.004548265,0,1.000000002
86.5,171,0.004188094,0,1.000000002
87,171,0.003856445,0,1.000000002
87.5,171,0.003551059,0,1.000000002
88,171,0.003269856,0,1.000000002
88.5,171,0.003010921,0,1.000000001
89,171,0.00277249,0,1.000000001
89.5,171,0.002552941,0,1.000000001
90,171,0.002350777,0,1.000000001
90.5,171,0.002164622,0,1.000000001
91,171,0.001993209,0,1.000000001
91.5,171,0.00183537,0,1.000000001
92,171,0.001690029,0,1.000000001
92.5,171,0.001556198,0,1.000000001
93,171,0.001432965,0,1.000000001
93.5,171,0.001319491,0,1.000000001
94,171,0.001215002,0,1.000000001
94.5,171,0.001118788,0,1.000000001
95,171,0.001030193,0,1.000000001
95.5,171,0.000948613,0,1
96,171,0.000873494,0,1
96.5,171,0.000804323,0,1
97,171,0.00074063,0,1
97.5,171,0.000681981,0,1
98,171,0.000627976,0,1
98.5,171,0.000578247,0,1
99,171,0.000532457,0,1
99.5,171,0.000490292,0,1
100,171,0.000451467,0,1
