height_km,temp_K,pressure_hPa,wvd_gm3,n
0,257.4345,1010.8828,1.2319,1.000312966
0.5,258.2318163,950.90075,1.248307886,1.000294084
1,258.31873,893.1957,1.206927282,1.000276374
1.5,257.7587888,837.76765,1.115755153,1.000259678
2,256.61554,784.6166,0.988326365,1.000243906
2.5,254.9525313,733.74255,0.840602774,1.000229013
3,252.83331,685.1455,0.687947806,1.000214977
3.5,250.3214238,638.82545,0.542887286,1.000201776
4,247.48042,594.7824,0.413969778,1.000189384
4.5,244.3738463,553.01635,0.305666373,1.000177765
5,241.06525,513.5273,0.219009032,1.000166873
5.5,237.6181788,476.31525,0.152590326,1.00015666
6,234.09618,441.3802,0.103599549,1.000147075
6.5,230.5628013,408.72215,0.068686263,1.000138076
7,227.08159,378.3411,0.044563404,1.000129628
7.5,223.7160938,350.23705,0.028352968,1.000121705
8,220.52986,324.41,0.017727427,1.000114292
8.5,217.5,300.85995,0.010915286,1.000107428
9,217.5,279.5869,0.006632574,1.000099804
9.5,217.5,260.59085,0.003985675,1.000093006
10,217.5,243.8718,0.002373612,1.000087028
10.5,217.5,226.5901043,0,1.000080847
11,217.5,210.5330562,0,1.000075118
11.5,217.5,195.6138724,0,1.000069795
12,217.5,181.7519195,0,1.000064849
12.5,217.5,168.8722779,0,1.000060253
13,217.5,156.9053375,0,1.000055983
13.5,217.5,145.7864205,0,1.000052016
14,217.5,135.4554329,0,1.00004833
14.5,217.5,125.8565388,0,1.000044905
15,217.5,116.9378594,0,1.000041723
15.5,217.5,108.651192,0,1.000038767
16,217.5,100.9517497,0,1.000036019
16.5,217.5,93.79791967,0,1.000033467
17,217.5,87.15103756,0,1.000031095
17.5,217.5,80.97517914,0,1.000028892
18,217.5,75.23696585,0,1.000026844
18.5,217.5,69.90538447,0,1.000024942
19,217.5,64.9516195,0,1.000023175
19.5,217.5,60.34889741,0,1.000021532
20,217.5,56.07234194,0,1.000020007
20.5,217.5,52.09883967,0,1.000018589
21,217.5,48.4069151,0,1.000017272
21.5,217.5,44.97661452,0,1.000016048
22,217.5,41.78939827,0,1.00001491
22.5,217.5,38.82804044,0,1.000013854
23,217.5,36.07653584,0,1.000012872
23.5,217.5,33.52001347,0,1.00001196
24,217.5,31.14465612,0,1.000011112
24.5,217.5,28.93762575,0,1.000010325
25,217.5,26.88699406,0,1.000009593
25.5,217.5,24.98167803,0,1.000008913
26,217.5,23.21138004,0,1.000008282
26.5,217.5,21.56653219,0,1.000007695
27,217.5,20.0382446,0,1.00000715
27.5,217.5,18.61825735,0,1.000006643
28,217.5,17.29889588,0,1.000006172
28.5,217.5,16.07302944,0,1.000005735
29,217.5,14.93403263,0,1.000005328
29.5,217.5,13.87574952,0,1.000004951
30,217.5,12.89246043,0,1.0000046
30.5,218.5625,11.97885099,0,1.000004253
31,219.625,11.12998344,0,1.000003933
31.5,220.6875,10.34126992,0,1.000003636
32,221.75,9.608447672,0,1.000003363
32.5,222.8125,8.927556037,0,1.000003109
33,223.875,8.294915008,0,1.000002875
33.5,224.9375,7.70710536,0,1.000002659
34,226,7.160950169,0,1.000002459
34.5,227.0625,6.653497641,0,1.000002274
35,228.125,6.182005154,0,1.000002103
35.5,229.1875,5.743924442,0,1.000001945
36,230.25,5.336887818,0,1.000001799
36.5,231.3125,4.958695377,0,1.000001664
37,232.375,4.607303111,0,1.000001539
37.5,233.4375,4.280811855,0,1.000001423
