height_km,temp_K,pressure_hPa,wvd_gm3,n
0,300.4222,1012.0306,19.6542,1.000374116
0.5,297.2470215,958.4216,17.05157862,1.000349037
1,294.074786,906.6284,14.12164541,1.000321975
1.5,290.9054935,856.651,11.26261448,1.000295221
2,287.739144,808.4894,8.718910225,1.000270252
2.5,284.5757375,762.1436,6.597878033,1.000247778
3,281.415274,717.6136,4.910544128,1.000227951
3.5,278.2577535,674.8994,3.613404083,1.000210593
4,275.103176,634.001,2.640325634,1.000195377
4.5,271.9515415,594.9184,1.922468019,1.000181941
5,268.80285,557.6516,1.398434723,1.000169954
5.5,265.6571015,522.2006,1.017985615,1.000159143
6,262.514296,488.5654,0.742175349,1.000149295
6.5,259.3744335,456.746,0.541876202,1.000140251
7,256.237514,426.7424,0.39582177,1.000131899
7.5,253.1035375,398.5546,0.288733283,1.000124161
8,249.972504,372.1826,0.209747733,1.000116985
8.5,246.8444135,347.6264,0.151189205,1.000110339
9,243.719266,324.886,0.107646858,1.000104205
9.5,240.5970615,303.9614,0.075298639,1.000098577
10,237.4778,284.8526,0.051420984,1.000093454
10.5,234.3614815,264.6668469,0.034035924,1.000087885
11,231.248106,245.911534,0.021660537,1.000082682
11.5,228.1376735,228.4852949,0.013135304,1.000077818
12,225.030184,212.2939463,0.007515695,1.000073266
12.5,221.9256375,197.249979,0.004014111,1.000069003
13,218.824034,183.2720853,0.001978099,1.000065008
13.5,215.7253735,170.284719,0.000888191,1.000061261
14,212.629656,158.2176875,0.000358542,1.000057745
14.5,209.5368815,147.0057723,0.000128274,1.000054445
15,206.44705,136.5883767,4.00594E-05,1.000051344
15.5,203.3601615,126.9091979,0,1.000048429
16,200.276216,117.915923,0,1.000045691
16.5,197.1952135,109.5599462,0,1.000043116
17,194,101.7961062,0,1.000040721
17.5,195.2665,94.58244174,0,1.000037589
18,196.533,87.87996537,0,1.000034701
18.5,197.7995,81.65245232,0,1.000032035
19,199.066,75.86624484,0,1.000029576
19.5,200.3325,70.49007033,0,1.000027306
20,201.599,65.49487226,0,1.000025212
20.5,202.8655,60.85365318,0,1.000023279
21,204.132,56.54132878,0,1.000021495
21.5,205.3985,52.5345923,0,1.000019849
22,206.665,48.81178861,0,1.000018329
22.5,207.9315,45.35279714,0,1.000016926
23,209.198,42.13892313,0,1.000015632
23.5,210.4645,39.15279663,0,1.000014437
24,211.731,36.37827855,0,1.000013333
24.5,212.9975,33.80037353,0,1.000012315
25,214.264,31.40514878,0,1.000011375
25.5,215.5305,29.1796589,0,1.000010506
26,216.797,27.11187581,0,1.000009705
26.5,218.0635,25.19062379,0,1.000008965
27,219.33,23.4055191,0,1.000008281
27.5,220.5965,21.74691381,0,1.00000765
28,221.863,20.20584368,0,1.000007068
28.5,223.1295,18.77397972,0,1.00000653
29,224.396,17.44358315,0,1.000006033
29.5,225.6625,16.20746362,0,1.000005574
30,226.929,15.05894028,0,1.00000515
30.5,228.1955,13.99180573,0,1.000004758
31,229.462,13.00029245,0,1.000004397
31.5,230.7285,12.07904162,0,1.000004063
32,231.995,11.22307418,0,1.000003754
32.5,233.2615,10.42776389,0,1.000003469
33,234.528,9.688812346,0,1.000003206
33.5,235.7945,9.002225761,0,1.000002963
34,237.061,8.364293347,0,1.000002738
34.5,238.3275,7.771567283,0,1.000002531
35,239.594,7.220844072,0,1.000002339
35.5,240.8605,6.70914723,0,1.000002162
36,242.127,6.233711199,0,1.000001998
36.5,243.3935,5.791966397,0,1.000001847
37,244.66,5.381525335,0,1.000001707
37.5,245.9265,5.000169708,0,1.000001578
38,247.193,4.645838411,0,1.000001459
38.5,248.4595,4.316616395,0,1.000001348
39,249.726,4.01072432,0,1.000001246
39.5,250.9925,3.726508937,0,1.000001152
40,252.259,3.462434151,0,1.000001065
40.5,253.5255,3.217072722,0,1.000000985
41,254.792,2.98909855,0,1.00000091
41.5,256.0585,2.777279506,0,1.000000842
42,257.325,2.580470776,0,1.000000778
42.5,258.5915,2.397608671,0,1.00000072
43,259.858,2.22770488,0,1.000000665
43.5,261.1245,2.069841126,0,1.000000615
44,262.391,1.923164206,0,1.000000569
44.5,263.6575,1.786881378,0,1.000000526
45,264.924,1.660256077,0,1.000000486
45.5,266.1905,1.542603932,0,1.00000045
46,267.457,1.433289072,0,1.000000416
46.5,268.7235,1.331720684,0,1.000000385
47,270,1.237349824,0,1.000000356
47.5,270,1.149666446,0,1.00000033
48,270,1.068196651,0,1.000000307
48.5,270,0.992500119,0,1.000000285
49,270,0.922167735,0,1.000000265
49.5,270,0.856819375,0,1.000000246
50,270,0.796101852,0,1.000000229
50.5,270,0.739687007,0,1.000000213
51,270,0.687269934,0,1.000000198
51.5,270,0.638567338,0,1.000000184
52,270,0.593315995,0,1.000000171
52.5,268.4643,0.551271337,0,1.000000159
53,266.9286,0.512206125,0,1.000000149
53.5,265.3929,0.475909225,0,1.000000139
54,263.8572,0.442184463,0,1.00000013
54.5,262.3215,0.410849568,0,1.000000122
55,260.7858,0.381735184,0,1.000000114
55.5,259.2501,0.354683958,0,1.000000106
56,257.7144,0.329549685,0,1.000000099
56.5,256.1787,0.306196524,0,1.000000093
57,254.643,0.284498259,0,1.000000087
57.5,253.1073,0.264337615,0,1.000000081
58,251.5716,0.245605633,0,1.000000076
58.5,250.0359,0.228201071,0,1.000000071
59,248.5002,0.212029864,0,1.000000066
59.5,246.9645,0.197004611,0,1.000000062
60,245.4288,0.183044105,0,1.000000058
60.5,243.8931,0.170072894,0,1.000000054
61,242.3574,0.158020873,0,1.000000051
61.5,240.8217,0.146822905,0,1.000000047
62,239.286,0.136418468,0,1.000000044
62.5,237.7503,0.12675133,0,1.000000041
63,236.2146,0.117769242,0,1.000000039
63.5,234.6789,0.10942366,0,1.000000036
64,233.1432,0.101669477,0,1.000000034
64.5,231.6075,0.094464786,0,1.000000032
65,230.0718,0.087770647,0,1.00000003
65.5,228.5361,0.081550881,0,1.000000028
66,227.0004,0.075771871,0,1.000000026
66.5,225.4647,0.070402384,0,1.000000024
67,223.929,0.0654134,0,1.000000023
67.5,222.3933,0.060777955,0,1.000000021
68,220.8576,0.056470994,0,1.00000002
68.5,219.3219,0.052469242,0,1.000000019
69,217.7862,0.048751069,0,1.000000017
69.5,216.2505,0.045296381,0,1.000000016
70,214.7148,0.042086505,0,1.000000015
70.5,213.1791,0.039104093,0,1.000000014
71,211.6434,0.036333026,0,1.000000013
71.5,210.1077,0.033758328,0,1.000000013
72,208.572,0.031366083,0,1.000000012
72.5,207.0363,0.028882248,0,1.000000011
73,205.5006,0.026595104,0,1.00000001
73.5,203.9649,0.024489076,0,1.000000009
74,202.4292,0.022549821,0,1.000000009
74.5,200.8935,0.020764133,0,1.000000008
75,199.3578,0.019119851,0,1.000000007
75.5,197.8221,0.017605778,0,1.000000007
76,196.2864,0.016211602,0,1.000000006
76.5,194.7507,0.014927828,0,1.000000006
77,193.215,0.013745715,0,1.000000006
77.5,191.6793,0.012657212,0,1.000000005
78,190.1436,0.011654905,0,1.000000005
78.5,188.6079,0.01073197,0,1.000000004
79,187.0722,0.009882121,0,1.000000004
79.5,185.5365,0.00909957,0,1.000000004
80,184,0.008378988,0,1.000000004
80.5,184,0.007715468,0,1.000000003
81,184,0.007104491,0,1.000000003
81.5,184,0.006541897,0,1.000000003
82,184,0.006023853,0,1.000000003
82.5,184,0.005546833,0,1.000000002
83,184,0.005107587,0,1.000000002
83.5,184,0.004703125,0,1.000000002
84,184,0.004330691,0,1.000000002
84.5,184,0.00398775,0,1.000000002
85,184,0.003671966,0,1.000000002
85.5,184,0.003381188,0,1.000000001
86,184,0.003113437,0,1.000000001
86.5,184,0.002866888,0,1.000000001
87,184,0.002639863,0,1.000000001
87.5,184,0.002430816,0,1.000000001
88,184,0.002238324,0,1.000000001
88.5,184,0.002061074,0,1.000000001
89,184,0.00189786,0,1.000000001
89.5,184,0.001747572,0,1.000000001
90,184,0.001609184,0,1.000000001
90.5,184,0.001481755,0,1.000000001
91,184,0.001364417,0,1.000000001
91.5,184,0.001256371,0,1.000000001
92,184,0.001156881,0,1.000000001
92.5,184,0.001065269,0,1
93,184,0.000980912,0,1
93.5,184,0.000903235,0,1
94,184,0.000831709,0,1
94.5,184,0.000765847,0,1
95,184,0.000705201,0,1
95.5,184,0.000649357,0,1
96,184,0.000597935,0,1
96.5,184,0.000550586,0,1
97,184,0.000506986,0,1
97.5,184,0.000466838,0,1
98,184,0.00042987,0,1
98.5,184,0.000395829,0,1
99,184,0.000364484,0,1
99.5,184,0.000335621,0,1
100,184,0.000309044,0,1
