height_km,temp_K,pressure_hPa,wvd_gm3,n
0,294.9838,1012.8186,14.3542,1.000350274
0.5,292.3580775,958.0063,11.58537419,1.000322558
1,289.69681,905.1263,9.251165858,1.000297476
1.5,286.9999975,854.1786,7.314189344,1.000274868
2,284.26764,805.1632,5.729902886,1.000254528
2.5,281.4997375,758.0801,4.451103119,1.000236225
3,278.69629,712.9293,3.431273868,1.000219725
3.5,275.8572975,669.7108,2.62686917,1.000204804
4,272.98276,628.4246,1.998687235,1.000191259
4.5,270.0726775,589.0707,1.512525027,1.00017891
5,267.12705,551.6491,1.139304037,1.000167604
5.5,264.1458775,516.1598,0.854838435,1.000157214
6,261.12916,482.6028,0.639386972,1.000147636
6.5,258.0768975,450.9781,0.477097197,1.000138789
7,254.98909,421.2857,0.355419528,1.000130611
7.5,251.8657375,393.5256,0.264542253,1.000123056
8,248.70684,367.6978,0.19687753,1.000116092
8.5,245.5123975,343.8023,0.14661304,1.000109697
9,242.28241,321.8391,0.109333283,1.000103859
9.5,239.0168775,301.8082,0.081707802,1.000098576
10,235.7158,283.7096,0.061239834,1.000093848
10.5,232.3791775,263.6048443,0.046067202,1.000088369
11,229.00701,244.924789,0.034806873,1.000083256
11.5,225.5992975,227.5684745,0.026435135,1.000078479
12,222.15604,211.4420953,0.020196188,1.000074014
12.5,218.6772375,196.4584935,0.015533046,1.000069838
13,215.15,182.5366874,0.012035696,1.000065934
13.5,215.15,169.6014342,0.009402452,1.000061247
14,215.15,157.5828229,0.0074113,1.000056896
14.5,215.15,146.4158967,0.005898737,1.000052856
15,215.15,136.040302,0.0047442,1.000049105
15.5,215.15,126.3999618,0,1.000045592
16,215.15,117.4427734,0,1.000042361
16.5,215.15,109.1203258,0,1.000039359
17,215.15,101.3876389,0,1.00003657
17.5,216.0261487,94.20292008,0,1.000033841
18,216.9058654,87.52733808,0,1.000031315
18.5,217.7891645,81.32481356,0,1.000028978
19,218.6760606,75.56182383,0,1.000026815
19.5,219.5665684,70.20722176,0,1.000024814
20,220.4607026,65.23206743,0,1.000022962
20.5,221.3584779,60.60947172,0,1.000021248
21,222.2599092,56.31445095,0,1.000019663
21.5,223.1650114,52.32379191,0,1.000018195
22,224.0737994,48.61592635,0,1.000016837
22.5,224.9862883,45.17081443,0,1.000015581
23,225.902493,41.96983642,0,1.000014418
23.5,226.8224288,38.99569205,0,1.000013342
24,227.7461108,36.23230702,0,1.000012346
24.5,228.6735543,33.66474609,0,1.000011425
25,229.6047745,31.27913243,0,1.000010572
25.5,230.539787,29.06257255,0,1.000009783
26,231.4786071,27.00308665,0,1.000009053
26.5,232.4212503,25.08954385,0,1.000008377
27,233.3677322,23.31160208,0,1.000007752
27.5,234.3180685,21.6596521,0,1.000007173
28,235.2722747,20.12476568,0,1.000006638
28.5,236.2303668,18.69864722,0,1.000006143
29,237.1923604,17.373589,0,1.000005684
29.5,238.1582716,16.14242953,0,1.00000526
30,239.1281162,14.99851475,0,1.000004867
30.5,240.1019103,13.93566219,0,1.000004504
31,241.0796699,12.94812746,0,1.000004168
31.5,242.0614112,12.03057324,0,1.000003857
32,243.0471504,11.17804045,0,1.000003569
32.5,244.0369039,10.38592142,0,1.000003303
33,245.0306879,9.649935002,0,1.000003056
33.5,246.0285188,8.966103415,0,1.000002828
34,247.0304132,8.33073077,0,1.000002617
34.5,248.0363875,7.740383079,0,1.000002422
35,249.0464585,7.191869701,0,1.000002241
35.5,250.0606427,6.682226095,0,1.000002074
36,251.078957,6.208697799,0,1.000001919
36.5,252.1014181,5.768725544,0,1.000001776
37,253.1280429,5.359931418,0,1.000001643
37.5,254.1588485,4.980106019,0,1.000001521
38,255.1938517,4.627196512,0,1.000001407
38.5,256.2330698,4.299295533,0,1.000001302
39,257.2765199,3.994630881,0,1.000001205
39.5,258.3242191,3.711555941,0,1.000001115
40,259.3761849,3.448540782,0,1.000001032
40.5,260.4324346,3.204163891,0,1.000000955
41,261.4929856,2.977104488,0,1.000000884
41.5,262.5578554,2.76613539,0,1.000000818
42,263.6270617,2.570116375,0,1.000000757
42.5,264.7006221,2.387988023,0,1.0000007
43,265.7785543,2.218765987,0,1.000000648
43.5,266.8608761,2.061535678,0,1.0000006
44,267.9476054,1.915447314,0,1.000000555
44.5,269.0387602,1.779711335,0,1.000000513
45,270.1343585,1.65359413,0,1.000000475
45.5,271.2344183,1.536414077,0,1.00000044
46,272.3389579,1.427537854,0,1.000000407
46.5,273.4479955,1.32637702,0,1.000000376
47,275,1.232384832,0,1.000000348
47.5,275,1.145053293,0,1.000000323
48,275,1.063910403,0,1.0000003
48.5,275,0.988517611,0,1.000000279
49,275,0.918467444,0,1.000000259
49.5,275,0.853381301,0,1.000000241
50,275,0.792907413,0,1.000000224
50.5,275,0.736718937,0,1.000000208
51,275,0.684512194,0,1.000000193
51.5,275,0.636005022,0,1.00000018
52,275,0.590935254,0,1.000000167
52.5,275,0.549059305,0,1.000000155
53,275,0.510150846,0,1.000000144
53.5,273.669941,0.473999591,0,1.000000134
54,272.324027,0.440410153,0,1.000000126
54.5,270.9620691,0.409200992,0,1.000000117
55,269.583876,0.380203433,0,1.000000109
55.5,268.1892542,0.353260752,0,1.000000102
56,266.7780077,0.328227334,0,1.000000096
56.5,265.3499386,0.30496788,0,1.000000089
57,263.9048461,0.28335668,0,1.000000083
57.5,262.4425274,0.263276934,0,1.000000078
58,260.9627772,0.244620116,0,1.000000073
58.5,259.4653876,0.227285391,0,1.000000068
59,257.9501485,0.211179073,0,1.000000064
59.5,256.4168469,0.19621411,0,1.000000059
60,254.8652676,0.182309622,0,1.000000056
60.5,253.2951927,0.169390459,0,1.000000052
61,251.7064018,0.157386798,0,1.000000049
61.5,250.0986717,0.146233763,0,1.000000045
62,248.4717767,0.135871075,0,1.000000042
62.5,246.8254883,0.126242727,0,1.00000004
63,245.1595753,0.117296681,0,1.000000037
63.5,243.4738038,0.108984586,0,1.000000035
64,241.7679371,0.101261518,0,1.000000033
64.5,240.0417357,0.094085737,0,1.00000003
65,238.2949571,0.087418459,0,1.000000029
65.5,236.527356,0.08122365,0,1.000000027
66,234.7386842,0.075467829,0,1.000000025
66.5,232.9286907,0.070119888,0,1.000000023
67,231.0971211,0.065150922,0,1.000000022
67.5,229.2437182,0.060534077,0,1.000000021
68,227.368222,0.056244399,0,1.000000019
68.5,225.4703689,0.052258704,0,1.000000018
69,223.5498924,0.048555451,0,1.000000017
69.5,221.606523,0.045114624,0,1.000000016
70,219.6399876,0.041917628,0,1.000000015
70.5,217.6500101,0.038947184,0,1.000000014
71,215.6363112,0.036187236,0,1.000000013
71.5,213.5986079,0.033622869,0,1.000000012
72,211.5366143,0.031240223,0,1.000000012
72.5,209.4500407,0.028766355,0,1.000000011
73,207.3385941,0.026488388,0,1.00000001
73.5,205.201978,0.024390811,0,1.000000009
74,203.0398924,0.022459338,0,1.000000009
74.5,200.8520337,0.020680815,0,1.000000008
75,198.6380947,0.019043131,0,1.000000007
75.5,196.3977644,0.017535133,0,1.000000007
76,194.1307283,0.016146551,0,1.000000007
76.5,191.836668,0.014867929,0,1.000000006
77,189.5152613,0.013690559,0,1.000000006
77.5,187.1661824,0.012606423,0,1.000000005
