height_km,temp_K,pressure_hPa,wvd_gm3,n
0,272.7241,1018.8627,3.4742,1.000311859
0.5,270.869275,957.922675,3.008857231,1.000293576
1,268.9265,899.398,2.560168654,1.000275934
1.5,266.895775,843.288675,2.140927774,1.000259012
2,264.7771,789.5947,1.760143671,1.00024287
2.5,262.570475,738.316075,1.423157933,1.000227544
3,260.2759,689.4528,1.132043647,1.000213054
3.5,257.893375,643.004875,0.886185329,1.000199403
4,255.4229,598.9723,0.682941439,1.000186583
4.5,252.864475,557.355075,0.518305858,1.000174577
5,250.2181,518.1532,0.387506265,1.000163365
5.5,247.483775,481.366675,0.285500921,1.000152924
6,244.6615,446.9955,0.207356994,1.000143236
6.5,241.751275,415.039675,0.148510948,1.000134283
7,238.7531,385.4992,0.104923574,1.000126054
7.5,235.666975,358.374075,0.073149055,1.00011854
8,232.4929,333.6643,0.050339815,1.000111742
8.5,229.230875,311.369875,0.034208024,1.000105663
9,225.8809,291.4908,0.0229617,1.000100315
9.5,222.442975,274.027075,0.015229512,1.000095713
10,218,258.9787,0.009984357,1.000092266
10.5,218,240.6264712,0,1.000085658
11,218,223.574752,0,1.000079588
11.5,218,207.7313834,0,1.000073948
12,218,193.0107369,0,1.000068708
12.5,218,179.3332522,0,1.000063839
13,218,166.6250067,0,1.000059315
13.5,218,154.8173166,0,1.000055112
14,218,143.8463648,0,1.000051206
14.5,218,133.652857,0,1.000047578
15,218,124.1817004,0,1.000044206
15.5,218,115.3817065,0,1.000041074
16,218,107.2053141,0,1.000038163
16.5,218,99.60833232,0,1.000035459
17,218,92.54970198,0,1.000032946
17.5,218,85.99127339,0,1.000030611
18,218,79.89760033,0,1.000028442
18.5,218,74.23574843,0,1.000026426
19,218,68.97511718,0,1.000024554
19.5,218,64.08727453,0,1.000022814
20,218,59.54580325,0,1.000021197
20.5,218,55.32615813,0,1.000019695
21,218,51.40553333,0,1.000018299
21.5,218,47.76273911,0,1.000017003
22,218,44.37808733,0,1.000015798
22.5,218,41.23328502,0,1.000014678
23,218,38.31133552,0,1.000013638
23.5,218,35.59644662,0,1.000012672
24,218,33.07394522,0,1.000011774
24.5,218,30.73019799,0,1.000010939
25,218,28.55253772,0,1.000010164
25.5,218,26.52919485,0,1.000009444
26,218,24.64923385,0,1.000008775
26.5,218,22.90249414,0,1.000008153
27,218,21.27953513,0,1.000007575
27.5,218,19.77158526,0,1.000007038
28,218,18.37049452,0,1.00000654
28.5,218,17.06869048,0,1.000006076
29,218,15.85913728,0,1.000005646
29.5,218,14.73529769,0,1.000005246
30,218,13.6910977,0,1.000004874
30.5,218,12.72089375,0,1.000004528
31,218,11.81944219,0,1.000004208
31.5,218,10.98187096,0,1.000003909
32,218,10.20365326,0,1.000003632
32.5,218,9.480583063,0,1.000003375
33,218,8.808752407,0,1.000003136
33.5,219.67855,8.184530261,0,1.000002891
34,221.3571,7.604542902,0,1.000002666
34.5,223.03565,7.065655682,0,1.000002458
35,224.7142,6.564956088,0,1.000002267
35.5,226.39275,6.099737997,0,1.000002091
36,228.0713,5.667487053,0,1.000001928
36.5,229.74985,5.265867077,0,1.000001779
37,231.4284,4.89270744,0,1.000001641
37.5,233.10695,4.545991333,0,1.000001513
38,234.7855,4.223844866,0,1.000001396
38.5,236.46405,3.924526939,0,1.000001288
39,238.1426,3.646419834,0,1.000001188
39.5,239.82115,3.388020471,0,1.000001096
40,241.4997,3.147932282,0,1.000001012
40.5,243.17825,2.924857668,0,1.000000933
41,244.8568,2.717590981,0,1.000000861
41.5,246.53535,2.52501201,0,1.000000795
42,248.2139,2.346079927,0,1.000000734
42.5,249.89245,2.179827661,0,1.000000677
43,251.571,2.025356671,0,1.000000625
43.5,253.24955,1.881832091,0,1.000000577
44,254.9281,1.748478216,0,1.000000532
44.5,256.60665,1.624574311,0,1.000000491
45,258.2852,1.509450714,0,1.000000454
45.5,259.96375,1.402485219,0,1.000000419
46,261.6423,1.30309971,0,1.000000387
46.5,263.32085,1.210757043,0,1.000000357
47,265,1.124958132,0,1.000000329
47.5,265,1.045239263,0,1.000000306
48,265,0.97116958,0,1.000000284
48.5,265,0.902348761,0,1.000000264
49,265,0.83840485,0,1.000000246
49.5,265,0.778992251,0,1.000000228
50,265,0.723789857,0,1.000000212
50.5,265,0.672499318,0,1.000000197
51,265,0.624843425,0,1.000000183
51.5,265,0.580564611,0,1.00000017
52,265,0.539423565,0,1.000000158
52.5,265,0.501197933,0,1.000000147
53,265,0.465681115,0,1.000000136
53.5,263.9815,0.432681157,0,1.000000127
54,262.963,0.402019702,0,1.000000119
54.5,261.9445,0.373531037,0,1.000000111
55,260.926,0.347061188,0,1.000000103
55.5,259.9075,0.322467094,0,1.000000096
56,258.889,0.299615833,0,1.00000009
56.5,257.8705,0.2783839,0,1.000000084
57,256.852,0.258656544,0,1.000000078
57.5,255.8335,0.240327145,0,1.000000073
58,254.815,0.223296637,0,1.000000068
58.5,253.7965,0.207472977,0,1.000000063
59,252.778,0.192770642,0,1.000000059
59.5,251.7595,0.179110171,0,1.000000055
60,250.741,0.166417734,0,1.000000052
60.5,249.7225,0.154624732,0,1.000000048
61,248.704,0.143667428,0,1.000000045
61.5,247.6855,0.1334866,0,1.000000042
62,246.667,0.124027225,0,1.000000039
62.5,245.6485,0.115238178,0,1.000000036
63,244.63,0.107071956,0,1.000000034
63.5,243.6115,0.099484425,0,1.000000032
64,242.593,0.092434575,0,1.00000003
64.5,241.5745,0.085884305,0,1.000000028
65,240.556,0.079798212,0,1.000000026
65.5,239.5375,0.074143403,0,1.000000024
66,238.519,0.068889316,0,1.000000022
66.5,237.5005,0.064007553,0,1.000000021
67,236.482,0.059471731,0,1.00000002
67.5,235.4635,0.055257335,0,1.000000018
68,234.445,0.051341588,0,1.000000017
68.5,233.4265,0.047703325,0,1.000000016
69,232.408,0.044322883,0,1.000000015
69.5,231.3895,0.041181993,0,1.000000014
70,230.371,0.038263678,0,1.000000013
70.5,229.3525,0.035552167,0,1.000000012
71,228.334,0.033032803,0,1.000000011
71.5,227.3155,0.030691971,0,1.000000011
72,226.297,0.02851702,0,1.00000001
72.5,225.2785,0.026390421,0,1.000000009
73,224.26,0.024422409,0,1.000000009
73.5,223.2415,0.022601157,0,1.000000008
74,222.223,0.020915721,0,1.000000007
74.5,221.2045,0.019355974,0,1.000000007
75,220.186,0.017912541,0,1.000000006
75.5,219.1675,0.01657675,0,1.000000006
76,218.149,0.015340572,0,1.000000006
76.5,217.1305,0.01419658,0,1.000000005
77,216.112,0.013137899,0,1.000000005
77.5,215.0935,0.012158167,0,1.000000004
78,214.075,0.011251496,0,1.000000004
78.5,213.0565,0.010412439,0,1.000000004
79,212.038,0.009635952,0,1.000000004
79.5,211.0195,0.00891737,0,1.000000003
80,210,0.008252376,0,1.000000003
80.5,210,0.007636971,0,1.000000003
81,210,0.00706746,0,1.000000003
81.5,210,0.006540418,0,1.000000002
82,210,0.00605268,0,1.000000002
82.5,210,0.005601313,0,1.000000002
83,210,0.005183607,0,1.000000002
83.5,210,0.00479705,0,1.000000002
84,210,0.00443932,0,1.000000002
84.5,210,0.004108266,0,1.000000002
85,210,0.003801901,0,1.000000001
85.5,210,0.003518382,0,1.000000001
86,210,0.003256005,0,1.000000001
86.5,210,0.003013195,0,1.000000001
87,210,0.002788492,0,1.000000001
87.5,210,0.002580546,0,1.000000001
88,210,0.002388107,0,1.000000001
88.5,210,0.002210019,0,1.000000001
89,210,0.002045211,0,1.000000001
89.5,210,0.001892694,0,1.000000001
90,210,0.00175155,0,1.000000001
90.5,210,0.001620932,0,1.000000001
91,210,0.001500054,0,1.000000001
91.5,210,0.001388191,0,1.000000001
92,210,0.001284669,0,1.000000001
92.5,210,0.001188867,0,1
93,210,0.00110021,0,1
93.5,210,0.001018164,0,1
94,210,0.000942237,0,1
94.5,210,0.000871971,0,1
95,210,0.000806946,0,1
95.5,210,0.000746769,0,1
96,210,0.000691081,0,1
96.5,210,0.000639545,0,1
97,210,0.000591852,0,1
97.5,210,0.000547716,0,1
98,210,0.000506871,0,1
98.5,210,0.000469072,0,1
99,210,0.000434092,0,1
99.5,210,0.00040172,0,1
100,210,0.000371763,0,1
